"ensembl.transcript"	"ensembl.gene"	"gene.symbol"	"entrezID"	"refseqID"	"unigeneID"	"chrom"	"startsite"	"tiss.number"	"tissues"	"max.tissue"
"ENST00000002596"	"ENSG00000002587"	"HS3ST1"	"9957"	"Hs.605349/Hs.507348"	"Hs.605349/Hs.507348"	"4"	"11394774"	"1"	"ovary"	"ovary"
"ENST00000003084"	"ENSG00000001626"	"CFTR"	"1080"	"Hs.604618/Hs.489786/Hs.661104"	"Hs.604618/Hs.489786/Hs.661104"	"7"	"117105838"	"1"	"salivary_gland"	"salivary_gland"
"ENST00000003583"	"ENSG00000001460"	"STPG1"	"90529"	"Hs.403187/Hs.680118/Hs.689256"	"Hs.403187/Hs.680118/Hs.689256"	"1"	"24683489"	"1"	"testes"	"testes"
"ENST00000003912"	"ENSG00000001461"	"NIPAL3"	"57185"	"Hs.523442/Hs.708897"	"Hs.523442/Hs.708897"	"1"	"24742284"	"2"	"nodose_nucleus/prostate_gland"	"prostate_gland"
"ENST00000004103"	"ENSG00000002933"	"TMEM176A"	"55365"	"Hs.647116"	"Hs.647116"	"7"	"150497491"	"3"	"dorsal_root_ganglia/kidney_cortex/liver/kidney_medulla"	"liver"
"ENST00000004921"	"ENSG00000006074"	"CCL18"	"6362"	"Hs.143961/Hs.669458"	"Hs.143961/Hs.669458"	"17"	"34391640"	"2"	"lung/tonsil"	"lung"
"ENST00000004980"	"ENSG00000079387"	"SENP1"	"29843"	"Hs.371957/Hs.729657/Hs.741874/Hs.745236"	"Hs.371957/Hs.729657/Hs.741874/Hs.745236"	"12"	"48436681"	"1"	"testes"	"testes"
"ENST00000004982"	"ENSG00000004776"	"HSPB6"	"126393"	"Hs.534538/Hs.706708/Hs.744178"	"Hs.534538/Hs.706708/Hs.744178"	"19"	"36245469"	"4"	"adipose_tissue_omental/adipose_tissue/adipose_tissue_subcutaneous/coronary_artery/heart_ventricle/skeletal_muscle/tongue_main_corpus"	"skeletal_muscle"
"ENST00000005178"	"ENSG00000004799"	"PDK4"	"5166"	"Hs.8364"	"Hs.8364"	"7"	"95212811"	"3"	"adipose_tissue_subcutaneous/skeletal_muscle/tongue_main_corpus"	"tongue_main_corpus"
"ENST00000005284"	"ENSG00000006116"	"CACNG3"	"10368"	"Hs.7235"	"Hs.7235"	"16"	"24266874"	"1"	"amygdala/putamen/accumbens/cerebral_cortex/frontal_lobe/hippocampus/parietal_lobe/occipital_lobe/temporal_lobe"	"amygdala"
"ENST00000005374"	"ENSG00000006625"	"GGCT"	"79017"	""	""	"7"	"30536237"	"1"	"vulva"	"vulva"
"ENST00000005756"	"ENSG00000007001"	"UPP2"	"151531"	"Hs.602682/Hs.128427"	"Hs.602682/Hs.128427"	"2"	"158733214"	"1"	"kidney_cortex"	"kidney_cortex"
