Ensembl_human_genes,Chromosome,Startsite,Strand,Band,Symbol,EntrezGene,Unigene,Tissue_number,Tissues,Max_tissue
ENSG00000267477,19,11466240,-1,p13.2,AC008481.3,,,1,adrenal,adrenal
ENSG00000204620,X,48568014,-1,p11.23,AC115618.1,,,1,adrenal,adrenal
ENSG00000118507,6,131135666,1,q23.2,AKAP7,9465,Hs.732515,1,adrenal,adrenal
ENSG00000085662,7,134442350,-1,q33,AKR1B1,231,Hs.521212,1,adrenal,adrenal
ENSG00000166839,15,64911902,1,q22.31,ANKDD1A,348094,Hs.207157,1,adrenal,adrenal
ENSG00000268472,11,112260265,1,q23.1,AP002884.4,100132686,Hs.650455,1,adrenal,adrenal
ENSG00000157617,21,41885112,-1,q22.3,C2CD2,25966,Hs.675058,1,adrenal,adrenal
ENSG00000112936,5,40909252,1,p13.1,C7,730,Hs.669878,1,adrenal,adrenal
ENSG00000134072,3,9757342,-1,p25.3,CAMK1,8536,Hs.434875,1,adrenal,adrenal
ENSG00000139899,14,24426532,-1,q12,CBLN3,643866,Hs.207603,1,adrenal,adrenal
ENSG00000111269,12,12611827,1,p13.1,CREBL2,1389,Hs.591156,1,adrenal,adrenal
ENSG00000008283,17,63432304,-1,q23.3,CYB561,1534,Hs.355264,1,adrenal,adrenal
ENSG00000162144,11,61348745,-1,q12.2,CYB561A3,220002,Hs.22546,1,adrenal,adrenal
ENSG00000103018,16,69424525,1,q22.1,CYB5B,80777,Hs.461131,1,adrenal,adrenal
ENSG00000166265,21,26466209,-1,q21.3,CYYR1,116159,Hs.37445,1,adrenal,adrenal
ENSG00000162733,1,162631373,1,q23.3,DDR2,4921,Hs.593833,1,adrenal,adrenal
ENSG00000186562,8,7821966,-1,p23.1,DEFB105A,245908,Hs.381378,1,adrenal,adrenal
ENSG00000186599,8,7487669,1,p23.1,DEFB105B,245908,Hs.381378,1,adrenal,adrenal
ENSG00000149485,11,61799625,-1,q12.2,FADS1,3992,Hs.503546,1,adrenal,adrenal
ENSG00000137714,11,110429883,1,q22.3,FDX1,2230,Hs.744,1,adrenal,adrenal
ENSG00000228594,1,1598012,-1,p36.33,FNDC10,643988,Hs.528816,1,adrenal,adrenal
ENSG00000170899,6,52977948,-1,p12.2,GSTA4,2941,Hs.485557,1,adrenal,adrenal
ENSG00000181218,1,228456979,-1,q42.13,HIST3H2A,92815,Hs.732533,1,adrenal,adrenal
ENSG00000144381,2,197486581,-1,q33.1,HSPD1,3329,Hs.727543,1,adrenal,adrenal
ENSG00000115541,2,197499994,1,q33.1,HSPE1,3336,Hs.1197,1,adrenal,adrenal
ENSG00000153814,7,27830573,-1,p15.1,JAZF1,221895,Hs.368944,1,adrenal,adrenal
ENSG00000185909,3,49171611,1,p21.31,KLHDC8B,200942,Hs.13781,1,adrenal,adrenal
ENSG00000197442,6,136557047,-1,q23.3,MAP3K5,4217,Hs.186486,1,adrenal,adrenal
ENSG00000055732,1,85018082,-1,p22.3,MCOLN3,55283,Hs.535239,1,adrenal,adrenal
ENSG00000153208,2,111898479,1,q13,MERTK,10461,Hs.306178,1,adrenal,adrenal
ENSG00000243147,2,27771717,1,p23.2,MRPL33,9553,Hs.515879,1,adrenal,adrenal
ENSG00000125148,16,56608199,1,q13,MT2A,4502,Hs.534330,1,adrenal,adrenal
ENSG00000136999,8,119416306,1,q24.12,NOV,4856,Hs.235935,1,adrenal,adrenal
ENSG00000198400,1,156815640,1,q23.1,NTRK1,4914,Hs.406293,1,adrenal,adrenal
ENSG00000253159,5,141430589,1,q31.3,PCDHGA12,26025,Hs.368160,1,adrenal,adrenal
ENSG00000164951,8,93857807,1,q22.1,PDP1,54704,Hs.22265,1,adrenal,adrenal
ENSG00000089220,12,118135858,1,q24.23,PEBP1,5037,Hs.433863,1,adrenal,adrenal
ENSG00000102312,X,48508962,1,p11.23,PORCN,64840,Hs.386453,1,adrenal,adrenal
