"ensembl.transcript"	"ensembl.gene"	"gene.symbol"	"entrezID"	"refseqID"	"unigeneID"	"chrom"	"startsite"	"tiss.number"	"tissues"	"max.tissue"
"ENSMUST00000000003"	"ENSMUSG00000000003"	"Pbsn"	"54192"	""	""	"X"	"77837901"	"1"	"prostate"	"prostate"
"ENSMUST00000000033"	"ENSMUSG00000048583"	"Igf2"	"16002"	"Mm.3862/Mm.419447"	"Mm.3862/Mm.419447"	"7"	"142650766"	"2"	"umbilicalcord/placenta/embryoday6.5/embryoday7.5/embryoday8.5/embryoday9.5/embryoday10.5"	"umbilicalcord"
"ENSMUST00000000049"	"ENSMUSG00000000049"	"Apoh"	"11818"	"Mm.487984"	"Mm.487984"	"11"	"108343354"	"1"	"liver"	"liver"
"ENSMUST00000000080"	"ENSMUSG00000000078"	"Klf6"	"23849"	"Mm.275036/Mm.402344/Mm.465611"	"Mm.275036/Mm.402344/Mm.465611"	"13"	"5861489"	"1"	"umbilicalcord"	"umbilicalcord"
"ENSMUST00000000090"	"ENSMUSG00000000088"	"Cox5a"	"12858"	"Mm.398320"	"Mm.398320"	"9"	"57521232"	"1"	"heart"	"heart"
"ENSMUST00000000096"	"ENSMUSG00000000094"	"Tbx4"	"21387"	"Mm.275336"	"Mm.275336"	"11"	"85886422"	"2"	"fertilizedegg/oocyte"	"oocyte"
"ENSMUST00000000109"	"ENSMUSG00000055022"	"Cntn1"	"12805"	"Mm.4911/Mm.401243/Mm.470343"	"Mm.4911/Mm.401243/Mm.470343"	"15"	"92051165"	"2"	"cerebellum/cortex/frontalcortex/substantianigra/dorsalrootganglion/amygdala/trigeminal/hypothalamus/spinalcordlower/spinalcordupper/preoptic"	"trigeminal"
"ENSMUST00000000122"	"ENSMUSG00000000120"	"Ngfr"	"18053"	"Mm.283893/Mm.406193"	"Mm.283893/Mm.406193"	"11"	"95568818"	"1"	"dorsalrootganglion"	"dorsalrootganglion"
"ENSMUST00000000145"	"ENSMUSG00000020333"	"Acsl6"	"216739"	"Mm.267478"	"Mm.267478"	"11"	"54303798"	"2"	"substantianigra/medialolfactoryepithelium(MOE)/spinalcordlower"	"medialolfactoryepithelium(MOE)"
"ENSMUST00000000161"	"ENSMUSG00000000157"	"Itgb2l"	"16415"	"Mm.12872"	"Mm.12872"	"16"	"96422288"	"1"	"bone"	"bone"
"ENSMUST00000000208"	"ENSMUSG00000000204"	"Slfn4"	"20558"	"Mm.38192"	"Mm.38192"	"11"	"83175186"	"2"	"bone/largeintestine"	"bone"
"ENSMUST00000000219"	"ENSMUSG00000000214"	"Th"	"21823"	"Mm.1292"	"Mm.1292"	"7"	"142892752"	"3"	"adrenalgland/olfactorybulb/substantianigra/dorsalrootganglion"	"adrenalgland"
"ENSMUST00000000220"	"ENSMUSG00000000215"	"Ins2"	"16334"	""	""	"7"	"142678656"	"1"	"pancreas"	"pancreas"
"ENSMUST00000000221"	"ENSMUSG00000000216"	"Scnn1g"	"20278"	"Mm.35247"	"Mm.35247"	"7"	"121734479"	"1"	"lung"	"lung"
"ENSMUST00000000253"	"ENSMUSG00000000247"	"Lhx2"	"16870"	"Mm.142856"	"Mm.142856"	"2"	"38339281"	"1"	"medialolfactoryepithelium(MOE)"	"medialolfactoryepithelium(MOE)"
"ENSMUST00000000260"	"ENSMUSG00000000253"	"Gmpr"	"66355"	"Mm.290802"	"Mm.290802"	"13"	"45507444"	"1"	"skeletalmuscle"	"skeletalmuscle"
"ENSMUST00000000284"	"ENSMUSG00000000275"	"Trim25"	"217069"	"Mm.248445"	"Mm.248445"	"11"	"88999376"	"1"	"blastocysts"	"blastocysts"
"ENSMUST00000000287"	"ENSMUSG00000000278"	"Scpep1"	"74617"	"Mm.34126"	"Mm.34126"	"11"	"88924020"	"3"	"umbilicalcord/blastocysts/ovary"	"blastocysts"
"ENSMUST00000000299"	"ENSMUSG00000000290"	"Itgb2"	"16414"	"Mm.1137"	"Mm.1137"	"10"	"77530252"	"1"	"bone/cd4+Tcell/cd8+Tcell"	"cd4+Tcell"
"ENSMUST00000000310"	"ENSMUSG00000000301"	"Pemt"	"18618"	""	""	"11"	"59970614"	"1"	"liver"	"liver"
"ENSMUST00000000317"	"ENSMUSG00000000308"	"Ckmt1"	"12716"	"Mm.252145"	"Mm.252145"	"2"	"121357714"	"3"	"largeintestine/smallintestine/stomach/blastocysts"	"smallintestine"
"ENSMUST00000000342"	"ENSMUSG00000020676"	"Ccl11"	"20292"	"Mm.4686"	"Mm.4686"	"11"	"82057823"	"2"	"uterus/adiposetissue"	"uterus"
"ENSMUST00000000384"	"ENSMUSG00000000374"	"Trappc10"	"216131"	"Mm.27539/Mm.395129"	"Mm.27539/Mm.395129"	"10"	"78186725"	"1"	"fertilizedegg"	"fertilizedegg"
