"ensembl.transcript"	"ensembl.gene"	"gene.symbol"	"entrezID"	"refseqID"	"unigeneID"	"chrom"	"startsite"	"tiss.number"	"tissues"	"max.tissue"
"ENST00000004103"	"ENSG00000002933"	"TMEM176A"	"55365"	"Hs.647116"	"Hs.647116"	"7"	"150497491"	"2"	"PB-CD14+Monocytes/Liver/kidney"	"Liver"
"ENST00000007699"	"ENSG00000006047"	"YBX2"	"51087"	"Hs.567494/Hs.678212"	"Hs.567494/Hs.678212"	"17"	"7191571"	"1"	"testis/TestisSeminiferousTubule/TestisInterstitial"	"testis"
"ENST00000009180"	"ENSG00000010278"	"CD9"	"928"	""	""	"12"	"6308881"	"5"	"OlfactoryBulb/bronchialepithelialcells/Prostate/Lung/Thyroid/trachea/ColorectalAdenocarcinoma"	"Prostate"
"ENST00000009530"	"ENSG00000019582"	"CD74"	"972"	"Hs.436568"	"Hs.436568"	"5"	"149781200"	"5"	"PB-BDCA4+Dentritic_Cells/whole blood/721_B_lymphoblasts/PB-CD19+Bcells/PB-CD14+Monocytes/lymphnode/Lung/BM-CD33+Myeloid/thymus/Tonsil/trachea/leukemiapromyelocytic(hl60)/lymphomaburkittsDaudi/lymphomaburkittsRaji"	"PB-CD19+Bcells"
"ENST00000009589"	"ENSG00000008988"	"RPS20"	"26795/6224"	"Hs.645656"	"Hs.645656"	"8"	"56979854"	"2"	"PB-BDCA4+Dentritic_Cells/BM-CD105+Endothelial/BM-CD34+/Ovary/721_B_lymphoblasts/PB-CD19+Bcells/PB-CD4+Tcells/PB-CD56+NKCells/PB-CD8+Tcells/PB-CD14+Monocytes/SmoothMuscle/BM-CD33+Myeloid/leukemiapromyelocytic(hl60)/lymphomaburkittsDaudi"	"PB-CD19+Bcells"
"ENST00000011292"	"ENSG00000091704"	"CPA1"	"1357"	"Hs.2879/Hs.610928"	"Hs.2879/Hs.610928"	"7"	"130020180"	"1"	"Pancreas/PancreaticIslets"	"Pancreas"
"ENST00000028008"	"ENSG00000026297"	"RNASET2"	"8635"	"Hs.529989"	"Hs.529989"	"6"	"167342992"	"1"	"PB-BDCA4+Dentritic_Cells/whole blood/721_B_lymphoblasts/PB-CD19+Bcells/PB-CD14+Monocytes/BM-CD33+Myeloid"	"PB-BDCA4+Dentritic_Cells"
"ENST00000046087"	"ENSG00000042813"	"ZPBP"	"11055"	"Hs.606870/Hs.388841/Hs.730437"	"Hs.606870/Hs.388841/Hs.730437"	"7"	"49890017"	"1"	"testis/TestisSeminiferousTubule/TestisInterstitial/TestisLeydigCell"	"TestisInterstitial"
"ENST00000052754"	"ENSG00000011465"	"DCN"	"1634"	"Hs.156316/Hs.629398/Hs.657741/Hs.680778/Hs.732351/Hs.742499/Hs.744446"	"Hs.156316/Hs.629398/Hs.657741/Hs.680778/Hs.732351/Hs.742499/Hs.744446"	"12"	"91539025"	"5"	"fetallung/adipocyte/Ovary/placenta/Uterus/trachea"	"adipocyte"
"ENST00000053867"	"ENSG00000030582"	"GRN"	"2896"	"Hs.514220/Hs.740128"	"Hs.514220/Hs.740128"	"17"	"42422614"	"2"	"PB-BDCA4+Dentritic_Cells/placenta/PB-CD14+Monocytes/Lung/BM-CD33+Myeloid/lymphomaburkittsRaji"	"PB-CD14+Monocytes"
"ENST00000062104"	"ENSG00000053438"	"NNAT"	"4826"	""	""	"20"	"36149617"	"1"	"Pituitary"	"Pituitary"
"ENST00000075322"	"ENSG00000136960"	"ENPP2"	"5168"	"Hs.190977"	"Hs.190977"	"8"	"120569326"	"1"	"Hypothalamus/Thalamus"	"Hypothalamus"
